ID,country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,Target
ID_3CFL0U,eswatini,63,Yes,No,No,No,Yes,3000,6000,7000,14,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,Yes,Yes,Yes,Yes,Never had,Never had,Never had,,6,Never had,Used to have but don’t have now,,Never had,Never had,Low
ID_XWI7G3,zimbabwe,39,No,Yes,Yes,No,Yes,,,,15,Have now,Have now,,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,Yes,Yes,,,,,,,No,3,Never had,Never had,,,,Medium
ID_TY93LV,malawi,34,Don’t know or N/A,No,No,Don't know,Yes,30000,6000,13000,5,,Never had,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,Yes,,,,Yes,,,Low
ID_9OP2C8,malawi,28,Yes,No,No,No,No,180000,60000,30000,1,,Have now,No,Yes,Female,"Yes, sometimes",No,Never had,No,No,Yes,No,,Yes,No,No,Never had,Never had,Never had,No,,,,Yes,Never had,Have now,Low
ID_13REYS,zimbabwe,43,Yes,No,No,Yes,Yes,50,2400,1800,3,Never had,,,No,Female,"Yes, sometimes",Yes,Never had,No,Yes,Yes,No,No,,,,,,,No,0,Never had,Never had,Yes,,,Low
ID_57I1NI,lesotho,39,Yes,No,No,Don't know,Yes,250,10,60,0,Never had,Have now,,,,,,,,,,,Don't know,Yes,No,Yes,,,,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_L3TKQV,lesotho,25,Yes,Yes,No,No,No,10000,1350,3000,7,Never had,Have now,,,,,,,,,,,Yes,Yes,No,,,,,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_KB700U,eswatini,44,Yes,Yes,No,Yes,Yes,14000,8500,15000,1,Never had,Have now,Yes,Yes,Male,No,No,Never had,"Yes, always",No,Yes,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,,0,Never had,Never had,,Never had,Never had,Low
ID_DUQI8U,zimbabwe,34,Yes,No,No,Yes,Yes,150,1680,3360,5,Never had,,,Yes,Female,No,Yes,Never had,"Yes, sometimes",Don't know, Do not know / N‎/A,No,No,,,,,,,No,0,Never had,Have now,Yes,,,Medium
ID_27YH6U,eswatini,65,Yes,No,Yes,No,No,5000,9000,22000,20,Have now,Have now,Yes,Yes,Male,No,No,Never had,"Yes, always",No,Yes,Yes,No,Yes,,Yes,Never had,Never had,Have now,,5,Never had,Have now,,Never had,Never had,Medium
ID_CBJS4T,malawi,42,Yes,No,No,Don't know,Yes,1166000,7000000,14000000,10,,Have now,No,No,Female,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,,Yes,No,No,Never had,Never had,Never had,Yes,,,,Yes,,,Low
ID_KJ6SZX,lesotho,56,Yes,No,No,Don't know,No,5000,1000,5000,10,Never had,Have now,,,,,,,,,,,No,Yes,No,,Used to have but don't have now,Used to have but don't have now,Have now,,,,,No,Used to have but don't have now,Used to have but don't have now,Low
ID_DITN5K,eswatini,36,Yes,Yes,No,No,No,1500,1100,2500,3,Never had,Have now,0,Yes,Female,No,Yes,Never had,"Yes, sometimes",No,Yes,No,Yes,Yes,Yes,,Used to have but don’t have now,Never had,Never had,,2,Never had,Never had,,Never had,Never had,Low
ID_RNUTPC,zimbabwe,41,Yes,No,No,No,Yes,200,2880,5400,4,Never had,,Yes,No,Male,No,Yes,Never had,"Yes, sometimes",No,Yes,No,No,,,,,,,No,9,Used to have but don't have now,Used to have but don't have now,,,,Low
ID_AMNJ8P,lesotho,47,Yes,No,No,Don't know,Yes,13000,15000,140000,6,Never had,Have now,,,,,,,,,,,No,No,No,Yes,Have now,Have now,Have now,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_LCUFVJ,zimbabwe,43,No,No,No,No,No,250,480,1080,4,Never had,,,Yes,Male,"Yes, always",No,Never had,"Yes, sometimes",No,Yes,Yes,No,,,,,,,Yes,4,Never had,Never had,,,,Medium
ID_P1KFV4,zimbabwe,32,Yes,Yes,Don’t know,No,Yes,350,,,6,Never had,,,No,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,No,No,No,,,,,,,No,0,Never had,Never had,,,,Low
ID_GMTQ0H,zimbabwe,34,Yes,Yes,Don’t know,No,Yes,400,1800,2400,6,Have now,,,Yes,Female,"Yes, sometimes",No,Never had,"Yes, sometimes",Don't know,Yes,No,No,,,,,,,No,7,Never had,Never had,,,,Medium
ID_TZK3NY,eswatini,31,Yes,No,No,No,Yes,2000,60000,83250,4,Never had,Never had,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",No,Yes,No,No,Yes,Yes,,Never had,Never had,Have now,,9,Never had,Never had,,Have now,Never had,Low
ID_65R96K,eswatini,36,Yes,Yes,No,Yes,Yes,2000,2500,5400,3,Never had,Have now,0,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,Yes,Yes,,Yes,Never had,Never had,Never had,,4,Never had,Never had,,Used to have but don’t have now,Never had,Low
ID_1AYAQR,malawi,28,Don’t know or N/A,Yes,No,Yes,Yes,80000,25000,10000,12,,Never had,No,No,Female,No,No,Never had,No,Yes,Don?t know / doesn?t apply,No,,Don't know,Yes,No,Never had,Never had,Never had,Yes,,,,Yes,,,Low
ID_1PV9FA,zimbabwe,57,Yes,No,No,No,Yes,1500,9600,18000,,Never had,,,Yes,Male,No,No,Never had,"Yes, always",No,Yes,No,Yes,,,,,,,No,1,Never had,Never had,,,,Low
ID_84XYJO,eswatini,32,Yes,Yes,No,No,Yes,7000,400,250,0,Never had,Never had,Yes,No,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",No,No,No,Don't know,Yes,Yes,Yes,Never had,Never had,Have now,,11,Have now,Have now,,Never had,Never had,Medium
ID_PQV6UU,zimbabwe,20,Yes,No,No,No,Yes,80,480,960,4,Never had,,,Yes,Male,"Yes, sometimes",Yes,Never had,No,Yes,No,No,No,,,,,,,Yes,0,Never had,Never had,,,,Low
